,actor,dialogue,date,Party,word_count,gpt_4_mini_question
0,Ferraro,"Well, let me first say that I wasnt born at the age of forty-three when I entered Congress. I did have a life before that as well. I was a prosecutor for almost five years in the district attorneys office in Queens County and I was a teacher. Theres not only what is on your paper resume that makes you qualified to run for or to hold office. Its how you approach problems and what your values are. I think if one is taking a look at my career theyll see that I level with the people; that I approach problems analytically; that I am able to assess the various facts with reference to a problem, and I can make the hard decisions. Im intrigued when I hear Vice-President Bush talk about his support of the presidents economic program and how everything is just going so beautifully. I, too, recall when Vice President Bush was running in the primary against President Reagan and he called the program voodoo economics, and it was and it is. We are facing absolutely massive deficits; this administration has chosen to ignore it; the president has failed to put forth a plan to deal with those deficits and if everything believes that everything is corning up roses, perhaps the vice-president should join me as I travel around the country and speak to people. People in Johnstown, Pennsylvania, are not terribly thrilled with whats happening in the economy because theyre standing in the light of a closed plant because theyve lost their jobs. The people in Youngstown, Ohio, have stores that are boarded up because the economy is not doing well. Its not only the old industries that are failing, its also the new ones. In San Jose, California, theyre complaining because they cant export their high-tech qualities  goods  to Japan and other countries. The people in the Northwest  in the state of Washington and Oregon  are complaining about whats happening to the timber industry and to the agriculture industry. So, so things are not as great as the administration is wanting us to believe in their television commercials. My feeling, quite frankly, is that I have enough experience to see the problems, address them and make the tough decisions and level with people with reference to those problems.",1984-10-11,Democrat,383,"What experiences do you believe best qualify you to address the economic challenges facing Americans today, and how would you contrast your approach with the current administration's policies?"
1,Ferraro,"I dont. Let me say that Im not a believer in polls and let me say further that what we are talking about are problems that are facing the entire nation. Theyre not just problems facing women. The issues in this campaign are the war-peace issues; the problems of deficits; the problems of trade deficits. We are now facing a $120 billion trade deficit in this country. Were facing problems of the environment. I think what were going to be doing over the next several weeks  and Im absolutely delighted that the League is sponsoring these debates and that we are, we are able to now speak to the American public and address the issues in a way such as this. I think youre going to see a change in those polls.",1984-10-11,Democrat,132,"What is your perspective on the significance of polling in relation to the broader issues facing our nation, and how do you see those issues impacting your campaign?"
2,Ferraro,"I, I think what Im going to have to do is Im going to start correcting the vice-presidents statistics. There are 6 million more people who have jobs and thats supposed to happen in a growing economy. In fact in the prior administration, with all their problems, they created 10 million jobs. The housing interest rates during this administration, for housing for middle-class Americans, was 14.5 percent. Under the prior administration, with all their problems, the average rate was 10.6 percent. If you take a look at the number of people living in poverty as a result of this administration, 6 million people, 500,000 people knocked off disability rolls. You know, its, you can walk around saying things are great and thats what were going to be hearing, weve been hearing that on those commercials for the past couple of months. I expect they expect the American people to believe that. Ill become a one-woman truth squad and well start tonight.",1984-10-11,Democrat,161,"What specific economic statistics or policies do you believe the current administration is misrepresenting, and how would you address these concerns if elected?"
3,Ferraro,"With reference to the busing vote that I cast in 1979, both Fritz Mondale and I agree on the same goal and that is nondiscrimination. I just dont agree on the same direction he does on how to achieve it. But I dont find any problem with that. I think thats been something thats been handled by the courts, and not being handled by Congress and will not be handled by the White House. But we both support nondiscrimination in housing and integration of neighborhoods. The goals we both set forth. With reference to tuition tax credits, I have represented a district in Queens which is 70 percent Catholic. I represented my district. Let me say as well that I have also been a great supporter of public school education and that is something that Fritz and I feel very, very strongly about for the future of this country. And this administration over the past several years has gutted the educational programs available to our young people. It has attempted to knock out Pell Grants, which are monies to young individuals who are poor and who cannot afford to go to college. It has reduced by 25 percent the amount of monies going into college education and by a third those going into secondary and primary schools. But Fritz Mondale and I feel very strongly that if you educate your children that thats an effort and the way that you build up and make a stronger America. With reference to civil rights I think youve got to go beyond that and if you take a look, also, at my record in the Congress and Fritz Mondales record, both in the Senate and as vice president, we both have extremely strong civil rights records. This administration does not. It has come in in the Bob Jones on the side of segregated academies. It came in in the Grove City case on the side of discrimination against women, the handicapped, and the elderly. As a matter of fact, in the Congress we just passed overwhelmingly the Civil Rights Bill of 1984 and this administration, the Republican-controlled Senate, just killed it in the last week or two in Congress. So there is a real difference between how the Mondale-Ferraro administration will address the problems of civil rights and the failure of this administration specifically in that particular area.",1984-10-11,Democrat,395,"What are your views on the role of federal government versus state courts in achieving nondiscrimination and civil rights, especially in relation to education and housing policies?"
4,Ferraro,"I do not support the use of quotas. Both Mr. Mondale and I feel very strongly about affirmative action to correct inequities, and we believe that steps should be taken both through government  for instance, the Small Business Administration. We have supported set-asides for minority and womens businesses. Thats a positive thing. We dont feel that youre in any way hurting anybody else by reaching out with affirmative action to help those whove been disenfranchised. On the contrary, if you have a growing economy, if you create the jobs, if you allow for small business the opportunity with lower interest rates to reach out and grow, there will be more than enough space for everybody. And affirmative action is a very positive way to deal with the problems of discrimination.",1984-10-11,Democrat,130,"What is your stance on affirmative action, and how do you believe it impacts economic opportunities for marginalized communities without disadvantaging others?"
5,Ferraro,"The vice-president indicates that the President signed the Voting Rights Act. That was after he was  he did not support it while it was in the Congress, in the Senate, it was passed despite his opposition, and he did sign it because he was required to do so. In the civil rights cases that he mentioned, the great number of cases that they have enforced, the reason they enforced them because under the law theyre required to do that. And Im delighted that the administration is following the law. With reference",1984-10-11,Democrat,91,"What is your assessment of the President's support for the Voting Rights Act, specifically regarding his actions during its passage in Congress and his eventual decision to sign it?"
6,Ferraro,"I just have to correct in my thirty seconds that are left the comment that the vice-president made with reference specifically to a program like AFDC. If you take AFDC, if you take food stamps, if you take  oh, go down the line on poor peoples programs, those are the programs that suffered considerably under this administrations first budget cuts and those are the ones that in the second part of their part of their term, we were able to restore some of those terribly, terribly unfair cuts to the poor people of this country.",1984-10-11,Democrat,95,What is your response to the vice-president's remarks about social welfare programs and their impact on low-income families in our country?
7,Ferraro,"Let me say first of all I believe very, very sincerely in the separation of church and state. Im taking it from the historical viewpoint, if you go back to the 1600s when people came here, the reason they came to this country was to escape religious persecution, and thats the same reason why people are coming here today in the 1940s to escape Nazism, now in the 1980s and 1984 when they can get our of the country to escape communism so they can come here and practice their religion. Our country is founded on the principle that our government should be neutral as far as religion is concerned. Now whats happened over the past several years, and quite frankly Im not going to let you lay on me the intrusion of state politics into religion or religion into politics by my comments with reference to the presidents policies, because it started in 1980 when this administration was running for office and the Reverend Jerry Falwell became very, very involved in the campaign. What has happened over the past four years has been I think a real fudging of that line with the separation of church and state. The actions of the archbishops let me say to you I feel that they have not only a right but a responsibility to speak up, and even though Ive been the person that theyre speaking up about, l feel they do have the responsibility to do so, and I have no problem with it, no more than I did a priest who marched at the time of Vietnam and no more than I did at the time when Martin Luther King marched at the time of the civil rights marches. I have absolutely no problem with them speaking up, I think they have an obligation as well as a right. But what I do have a problem with is when the president of the United States gets up in Dallas and addresses a group of individuals and said to them that anybody who doesnt support his constitutional amendment for prayer in the schools is intolerant of religion. Now there are numerous groups who dont support that prayer in the school, numerous religious groups. Are they intolerant of religion? Is that what the president is saying? I also object, when I am told, that the Reverend Falwell has been told that he would pick two of our Supreme Court justices. Thats going a little bit far. In that instance, let me say to you it is more than a fudging at the line, it is a total intrusion, and I think that its in violation of our Constitution.",1984-10-11,Democrat,446,"How do you view the relationship between religion and politics in the context of our Constitution, and what concerns do you have about recent developments in that area?"
8,Ferraro,"Let me tell you that I did not come to my position on abortion very lightly. I am a devout Catholic. When I was running for Congress 1978 I sat and met with a person I felt very close to, a monsignor currently a bishop. I spoke to him about my personal feelings that I would never have an abortion, but I was not quite sure if I were ever to become pregnant as result of a rape if I would be that self-righteous. I then spoke to him; he said, Gerry, thats not good enough. There you cant support that position. I said okay. Thats my religious view; I will accept the teaching of the church, but I cannot impose my religious views on someone else. I truly take an oath as a public official to represent all the people in my district, not only the Catholics. If there comes a time where I cannot practice my religion and do my job properly, I will resign my job.",1984-10-11,Democrat,169,"What personal experiences or beliefs have shaped your position on the issue of abortion, and how do you reconcile your religious values with your responsibility to represent a diverse constituency?"
9,Ferraro,"Yes, I still find it very difficult to believe because in the platform, which this Republican party passed in Dallas  one of the things they was they said that this position on abortion would be a litmus test, not only for Supreme Court justices but for other federal justices. That, again, seems to me a blurring of the line of the separation between church and state.",1984-10-11,Democrat,66,"What are your thoughts on the impact of political party platforms, particularly regarding social issues like abortion, on the appointment of federal judges?"
10,Ferraro,"Let me say to you that I already did that. I wanted them to move ahead. If you recall, I spent about an hour and 45 minutes speaking to 200 reporters on August 21, which is the day after I was required to file my financial statement, and I sat for as long as they had questions on the issue, and I believe that they were satisfied. I filed more information than any other candidate for a national office in the history of this country. Not only did I agree to file my tax returns, after a little bit of prodding my husband also agreed to file his with the  not only the ethics committee but the FEC. Bur the action that youre speaking about with the ethics committee was started by a right-wing legal organization  foundation  knowing that I would have to  that there would be an automatic inquiry. We have filed the necessary papers, I have asked them to move along. Unfortunately, the House, I believe, went out of session today, so I dont know if they will move. But quite frankly, I would like that to be taken care of anyway, because I just want it cleared up.",1984-10-11,Democrat,201,"How do you respond to concerns about your financial disclosures and the ongoing inquiries related to your ethics, and what steps have you taken to ensure transparency?"
11,Ferraro,"Well, what it showed was that  and it was truly that I hired an accountant who had been with our family for well over forty years. He was filling our those ethics forms. I did not spend the time with him  I just gave him my tax information and he did it. I have to tell you what we have done since I have hired a marvelous accountant. Ive spent a lot of money having him go through all those ethics forms and he will be doing my taxes over the next eight years while were in the White House so that the American public can be sure its all been taken care of.",1984-10-11,Democrat,114,How will you ensure transparency and ethical responsibility in your financial dealings while in office?
12,Ferraro,"Let me just say that Id be happy to give the vice-president the name of my accountant, but I warn you, hes expensive. I think the question is whether or not the tax cuts and the tax system thats currently in our government, that our government uses, is fair; I think the tax system is unfair. But its not something that we can address in the short term. The tax cuts that Vice-President Bush and I got last, three years ago, that this president gave out, no, thats not fair. If you earn $200,000 a year, you got a $25,000 tax cut. If you earned between $20,000 and $40,000, you may have gotten about $1,000 between ten and twenty, close to a hundred dollars and if you made less than $10,000 with all the budget cuts that came down the line, you suffered a loss of $400. Thats not fair. Thats basically unfair and not only is it unfair, but economically it has darn near destroyed this country. Theres a $750 billion tax cut over a five-year period of time. Thats one of the reasons were facing these enormous deficits that we have today.",1984-10-11,Democrat,194,What is your assessment of the fairness of the current tax system and its impact on different income brackets in our country?
13,Ferraro,"Let me first say that terrorism is a global problem, and let me say secondly that the  Mr. Bush has referred to the embassy that was held in Iran, Well, I was at the White House in January, I guess it was, in 81, when those hostages, all fifty-two of them, came home alive. It was at that time that President Reagan gave a speech welcoming them home  as America did, we were so excited to see them back. But what he said was: The United States has been embarrassed for the last time. Were going to stand tall and if this ever happens again, theres going to be swift and immediate steps taken to address the wrong that our country has founded  has suffered. In April of J983 I was in Beirut and visited the ambassador at the embassy. Two weeks later, that embassy was bombed. At that time  take a look at the crazy activities of terrorists, you cant blame that on anybody. Theyre going to do crazy things and you just dont know whats going to happen. The following October, there was another bombing and that bombing took place at the marine barracks, where there were 242 young men who were killed. Right after that bombing occurred, there was a commission set up called the Long Commission. That commission did a study of the security arrangements around where the marines were sleeping and found that there was negligence, that they did not have proper gates up, proper precautions to stop those trucks from coming in. And so the Long Commission issued a report, and President Reagan got up and he said: Im commander in chief. I take responsibility. And we all waited for something to be done when he look responsibility. Well, last month we had our third bombing, The first time, the first embassy, there was no gate up, The second time, with our Marines, the gate was open. The third time, the gate was there but it had not been installed. And what was the presidents reaction? Well, the security arrangements were not in, our people were placed in that embassy in an unsecured time, and the marines who were guarding it were left to go away and there were other people guarding the embassy. Again the president said: I assume responsibility. Id like to know what that means. Are we going to take proper precautions before we put Americans in situations where theyre in danger, or are we just going to walk away, throwing our arms in the air now  quite a reversal from the first time, from the first time when he said he was going to do something? Or is this President going to take some action?",1984-10-11,Democrat,455,What specific actions do you believe the current administration should take to enhance the security of American embassies and protect our personnel abroad in light of past incidents of terrorism?
14,Ferraro,"I think they have a legitimate role in gathering information. And what has happened was the CIA, in the last bombing, had given information to our administration with reference to the actual threats that that embassy was going to be bombed. So it wasnt the CIA that was at fault. Theres legitimate reason for the CIA to be in existence, and thats to gather intelligence information for our security. But when I see the CIA doing things like theyre doing down in Central America  supporting a covert war  no, I dont support that kind of activity. The CIA is there, its meant to protect our government; not there to subvert other governments.",1984-10-11,Democrat,112,"What is your stance on the role of the CIA in national security, particularly in light of its intelligence-gathering responsibilities versus its involvement in covert operations abroad?"
15,Ferraro,"Let me just say, first of all, that I almost resent, Vice President Bush, your patronizing attitude that you have to teach me about foreign policy. Ive been a member of Congress for six years; I was there when the embassy was held hostage in Iran, and I have been there and Ive seen what has happened in the past several months; seventeen months of your administration. Secondly, please dont categorize my answers, either. Leave the interpretation of my answers to the American people who are watching this debate. And let me say further that no one has ever said that those young men who were killed through the negligence of this administration and others ever died in shame. No one who has a child who is nineteen or twenty years old, a son, would ever say that at the loss of anybody elses child.",1984-10-11,Democrat,145,"Vice President Bush, can you address your experience in foreign policy and how it shapes your perspective on the recent challenges our country has faced, particularly in light of your administration's decisions?"
16,Ferraro,"I would advocate the use of force when it was necessary to protect the security of our country, protect our security interest or protect our people or protect the interests of our friends and neighbors. When president  Im jumping the gun a bit, arent I?  when Mr. Mondale, Mr. Mondale referred to the quarantine of Central America, a country in Central America, what he is referring to is a last resort after all other means of attempting to settle the situation down in that region of the world had been exhausted. Quite frankly now what is being done by this administration is an Americanizing of a regional conflict. Theyre moving in militarily instead of promoting the Contadora process, which, as you know, is the process that is in place with the support of Mexico and Colombia and Panama and Venezuela. Instead of supporting the process, our administration has in Nicaragua been supporting covert activities to keep that revolution going in order to overthrow the Sandinista government; in El Salvador was not pushing the head of the government to move toward correction of the civil rights; human rights problems that existed there, and now this administration seems almost befuddled by the fact that Nicaragua is moving to participate in the Contadora process, and El Salvador is, through its President Duarte, is reaching out to the guerrillas in order to negotiate a peace. What Fritz Mondale and I feel about the situation down there is that what you do is you deal first through negotiation. That force is not a first resort but certainly a last resort in any instance.",1984-10-11,Democrat,268,How do you view the balance between military intervention and diplomatic efforts in addressing conflicts in Central America?
17,Ferraro,"No, I think what you have to do is work with the government  I assume youre speaking about the government of Nicaragua  work with that government to achieve a pluralistic society. I mean they do have elections that are coming up on November 4. I think we have to work with them to achieve a peaceful solution to bring about a pluralistic country. No, Im not willing to live with a force that could be a danger to our country. Certainly, I would see that our country would be there putting all kinds of pressure on the neighboring countries of Honduras, of Costa Rica, of El Salvador, to promote the kind of society that we can all live with and security in this country.",1984-10-11,Democrat,124,"What role do you believe the United States should play in promoting political stability and democracy in Nicaragua, especially with the upcoming elections?"
18,Ferraro,"I spent time in Central America in January and had an opportunity to speak to the contras after the incident in Nicaragua and in El Salvador. Let me just say that the situation as it exists now, because of this administrations policies, are not getting better. Were not moving toward a more secure area of the world. As a matter of fact the number of troops that the Sandinistas have accumulated since the administration started its covert activities has risen from 12,000 to 50,000, and of course the number of Soviet and Cuban advisors has also increased. I did not support the mining of the harbors in Nicaragua; it is a violation of international law. Congress did not support it and as a matter of fact, just this week, the Congress voted in cut off covert aid to Nicaragua unless and until a request is made and there is evidence of need for it, and the Congress approves it again in March. So if Congress doesnt get laid on, the covert activities which I opposed in Nicaragua, those CIA covert activities in that specific country, are not supported by the Congress. And believe it or not, not supported by the majority of people throughout the country.",1984-10-11,Democrat,206,"What are your thoughts on the current U.S. intervention strategies in Central America, particularly in relation to Nicaragua and the actions of the Sandinistas?"
19,Ferraro,"Let me say first of all that I dont think there is any issue that is more important in this campaign, in this election, than the issue of war and peace. And since today is Eleanor Roosevelts 100th birthday, let me quote her. She said, It is not enough to want peace, you must believe in it. And it is not enough to believe in it, you must work for it. This administrations policies have indicated quite the opposite. The last time I heard Vice President Bush blame the fact that they didnt meet with the Soviet leader, and this is the first president in forty years not to meet with a Soviet counterpart. He said the reason was because there are three Soviet leaders in the past three and a half years. I went and got a computer printout. Its five pages of the leaders, world leaders, that the Soviet leaders have met with, and theyre not little people. Theyre people like Mitterrand of France and Kohl of Germany and President Kiprianou of Cyprus  you go down the list, five pages of people that the Soviet leaders have managed to meet with and somehow they couldnt meet with the president of the United States. In addition to not meeting with his Soviet counterpart, this is the first president  and youre right  since the start of negotiating arms control agreements who have not negotiated an arms control agreement, But not only has he not negotiated one, hes been opposed to every single one that every other president has negotiated, including Eisenhower, including Ford, and including Nixon. Now, let me just say that with reference to the vice-presidents comments about the intent and the desire of the United Sites and this administration, the Soviet Union did walk out of the talks. I agree. But it seems to me in 1982, when the administration presented its Start proposal, that it wasnt a realistic proposal. And that is the comment that was made by Secretary Haig after he left office, because what it dealt with was that it dealt just with land-based nuclear missiles, which is where the Soviets had the bulk of their missiles. But that aside, in 1982, I believe it was, their own negotiator, Nitze, came out with a proposal called the walk-in-the-woods proposal which would have limited the number of nuclear arms in Europe. That proposal was turned down by the administration  a proposal presented by its own administrator. Now Im delighted that they met with Mr. Gromyko, but they could have had that opportunity to meet with him in 1981 when he came to the UN, which he had done with every other president before, and in 1982 as well. I guess my",1984-10-11,Democrat,455,"What do you consider to be the most pressing issue in foreign policy today, and how do you assess the current administration's approach to fostering peace and managing relationships with global leaders, particularly in relation to the Soviet Union?"
20,Ferraro,"I  You robbed me of my follow-up, thats what you robbed me, so why dont I let her give me the follow-up.",1984-10-11,Democrat,22,"Candidate, can you discuss how you believe the format of this debate impacts the ability to address important issues effectively?"
21,Ferraro,"I think first of all, you have to take a look at the current situation. We now have 50,000 nuclear warheads; we are building at the rate of five or six a day between us and we have been doing that since this administration came into office. I think what you can do is look at what theyve done and recognize that theyre not going to do very much in the future. And so, since theyve done nothing, do we continue to build because an arms race doesnt lead to anything, it leads to another arms race and thats that. Vice President Monad has indicated that what he would do, first of all, as soon as he. gets into office, is contact his Soviet counterpart and set up an annual summit meeting. Thats number one. I dont think you can start negotiating until you start talking. Secondly, he would issue a challenge, and the challenge would be in the nature of temporary, mutual, verifiable, moratoria to halt testing in the air, in the atmosphere, that would respond with a challenge from the Soviet Union, we hope, to sit down and negotiate a treaty. That was done in 1960. I dont know what your lights are doing, Sander.",1984-10-11,Democrat,207,"What are your thoughts on the current state of nuclear arms, and how do you propose to address the ongoing arms race?"
22,Ferraro,"Okay. Im watching them blinking. So I have another minute. What that would do is it would give us the opportunity to sit down and negotiate a treaty. That was done in 1960 by President Kennedy  in 1963. What he did was he issued a challenge to the Soviet Union. He said we will not test in space  in the atmosphere, if you will not. They did not. In two months they sat down and they negotiated a treaty. We do not now have to worry about that type of testing. It can be done; it will be done, if only you have the will to do it. Again, remember it is mutual; it is verifiable and it is a challenge that once that challenge is not met, if testing were to resume, then we would continue testing as well.",1984-10-11,Democrat,140,What specific actions do you believe the United States should take to reinvigorate international arms control negotiations and prevent further nuclear testing?
23,Ferraro,Are you saying that I would have to have fought in the war in order to love peace?,1984-10-11,Democrat,18,What are your thoughts on the relationship between military service and the understanding of peace?
24,Ferraro,"All right. I think what happens is when you try to equate whether or not I have had military experience, thats the natural conclusion. Its about as valid as saying that you would have to be black in order to despise racism, that youd have to be female in order to be terribly offended by sexism. And thats just not so. I think if you take a look at where Ive been, both in the Congress and where I intend to go, the type of person I am  I think that the people of this country can rely upon the fact that I will be a lender. I dont think the Soviet Union for one minute can sit down and make determination on what I will do if Im ever in a position to have to do something with reference to the Soviet Union. Quite frankly Im prepared to do whatever is necessary in order to secure this country and make sure that security is maintained. Secondly, if the Soviet Union were to ever believe that they could challenge the United States with any sort of nuclear forces or otherwise, if I were in a position of leadership in this country, they would be assured that they would be met with swift, concise and certain retaliation. Let me just say one other thing now. The most important thing, though I think as a leader that what one has to do is get to the point where youre not put into that position. And the way you to that position of rnoving away from having to make a decision  armed force or anything else  is by moving toward arms control. And thats not whats been done over the past four years. I think that if you were to take a look at the failures of this administration that would have to be number one. I will not put myself in that position as a leader in this country. I will move immediately toward arms control negotiations.",1984-10-11,Democrat,335,"How do you respond to criticisms suggesting that without military experience, you may lack the necessary perspective to handle national security and foreign policy challenges?"
25,Ferraro,"Oh, I dont have a single-most question. I guess the concern that I have is a concern not only as a vice-presidential candidate but as a citizen in this country. My concern is that we are not doing anything to stop the arms race, and if seems to me that if we keep talking about military inferiority  which we do not have, we are at a comparable level with the Soviet Union; our Joint Chiefs of Staff have said theyd never exchange our military power for theirs. I guess the thing that Id want is a commitment that pretty soon theyre going to do something about making this a safer world for all of us.",1984-10-11,Democrat,115,"What are your views on the current state of the arms race, and what specific steps do you believe should be taken to address military concerns and enhance global security?"
26,Ferraro,"I think the vice-presidents comment about the Carter-Mondale administration really typifies this administration. Its an administration that looks backwards, not forwards and into the future. I must say that Im also tickled by their comments on human rights. The Soviet Union in 1979 allowed 51,000 people to emigrate, because, in large measure, this administrations policies over the past four years, 1,313 people got out of the Soviet Union in 1983 and 1984. Thats not a great record on human rights and certainly not a record on human rights achievements. This administration spent a trillion dollars on defense, but it hasnt gotten a trillion dollars on national security.",1984-10-11,Democrat,107,"How do you respond to criticisms that your administration's approach to foreign policy, particularly regarding human rights and its focus on defense spending, is out of touch with the needs of the present and future?"
27,Ferraro,"I hope somebody wants to applaud. Being the candidate for vice-president of my party is the greatest honor I have ever had. But its not only a personal achievement for Geraldine Ferraro  and certainly not only the bond that I feel as I go across this country with women throughout the country. I wouldnt be standing here if Fritz Mondale didnt have the courage and my party didnt stand for the values that it does  the values of fairness and equal opportunity. Those values make our country strong and the future of this country and how strong it will be is what this election is all about. Over the last two months Ive been traveling all over the country talking to the people about the future. I was in Kentucky and I spoke to the Dyhouse family. He works for a car dealer and hes worried about the deficits and how high interest rates are going to affect his job. Every place I go I see young parents with their children and they say to me what are we going to do to stop this nuclear arms race. I was in Dayton, Ohio, a week and a half ago and I sat with the Allen family who live next door to a toxic dump and theyre very, very concerned about the fact that those toxics are seeping into the water that they and their neighbors drink. Now those people love this country and theyre patriotic. But its not the patriotism that youre seeing in the commercials as you watch television these days. Their patriotism is not only a pride in the country as it is, but a pride in this country that is strong enough to meet the challenges of the future. Do you know when we find jobs for the eight and a half million people who are unemployed in this country, you know well make our economy stronger and that will be a patriotic act. When we reduce the deficits and we cut interest rates, and I know the president doesnt believe that, but its so  we cut those interest rates young people can buy houses, thats pro-family and that will be a patriotic act. When we educate our children  good Lord, theyre going to be able to compete in a world economy and that makes us stronger and thats a patriotic act. When we stop the arms race, we make this a safer, saner world, and thats a patriotic act, and when we keep the peace young men dont die, and thats a patriotic act. Those are the keys to the future and who can be the leader for the future? When Walter Mondale was attorney general of Minnesota, he led the fight for a man who could not afford to get justice because he couldnt afford a lawyer; when he was in the Senate he fought for child nutrition programs, he wrote the Fair Housing Act, he even investigated the concerns and the abuses of migrant workers. And why did he do that? Those werent popular causes. You know, no one had ever heard of Clarence Gideon, the man without a lawyer. Children dont vote and migrant workers exactly a powerful lobby in this country, but he did it because it was right. Fritz Mondale has said that he would rather lose a battle for decency than win one over self-interest. Now I agree with him. This campaign is not over. For our country, for our future, for the principles we believe in Walter Mondale and I have just begun to fight.",1984-10-11,Democrat,596,"What do you believe are the most pressing issues facing American families today, and how do your beliefs about patriotism and leadership inform your approach to addressing them?"
