,actor,dialogue,date,Party,word_count
433,Bush,"Well, I dont think theres a great difference, Mr. Mashek, between my views and President Reagans. One of the reasons I think were an effective team is that I believe firmly in his leadership. Hes really turned this country around. We agree on the economic program. When we came into office, why, inflation was 21, 12 1/2 percent interest was wiping out every single American were 21 1/2 percent if you can believe it. Productivity was down. Savings was down. There was despair. In fact, the leadership of the country told the people that there was a malaise out there. And this president turned it around and Ive been with him every step of the way. And of course I would continue those kinds of programs because its brought America back. Americas better off. People are going back to work. And why Mr. Monad cant understand that theres a new enthusiasm in this country, that America is back, theres new strong leadership, I dont know. He has one answer to the problem. Raise everybodys taxes. He looked right into that lens and he said out there in San Francisco, he said, Im gonna raise your taxes. Well hes had a lot of experience in that and hes sure gonna go ahead and do it. But I remember a statement of Lyndon Johnsons when he was looking around, why his party people werent supporting him, and he said, Hey, they painted their tails white and they ran with the antelopes. Theres a lot of Democratic white tails running with the antelopes. Not one single Democrat has introduced the Mondale tax bill into the Congress. Of course I support the presidents economic program and I support him in everything else. And Im not sure, because of my concept of the vice presidency, that if I didnt, Id go doing what Mr. Mondale has done with Jimmy Carter; jump away from him. I couldnt do that to Ronald Reagan, now, next year or any other time. I have too much trust in him. I have too much friendship for him. And Id feel very uncomfortable doing that.",1984-10-11,Republican,354
435,Bush,"I owe my president my judgment and then I owe him loyalty. You cant have the president of the United States out there looking over his shoulder wondering whether his vice president is going to be supporting him. Mrs. Ferraro has quite a few differences with Vice-President Mondale and I understood it when she changed her position on tuition tax credits. Theyre different on busing; she voted to extend the grain embargo; he now says that he was against it. If they win  and I hope they dont  but if they win, shell have to accommodate some views. But shell give him the same kind of loyalty that Im giving President Reagan. One, were not far apart on anything. Two, I can walk into that Oval Office anytime and give him my judgment and he might agree or he might not. But he also knows I wont be talking about it to the press or I wont be knifing him in the back by leaking to make me look good and complicate the problems of the president of the United States.",1984-10-11,Republican,181
441,Bush,"Well, I was glad to get that vote of confidence from Mrs. Ferraro in my economic judgment. So let me make a statement on the economy. The other clay she was in a plant and she said to the workers, Why are you all voting for, why are so many of you voting for the Reagan-Bush ticket. And there was a long, deathly silence and she said come on, we delivered. Thats the problem. And Im not blaming her except for the liberal voting record in the House. They delivered. They delivered 21  percent interest rates. They delivered what they called malaise. They delivered interest rates that were right off the charts. They delivered take-home pay, checks that were shrinking, and weve delivered optimism. People are going back to work; 6 million of them. And 300,000 jobs a month being created. Thats why there was that deathly silence out there in that plant. They delivered the wrong thing. Ronald Reagan is delivering leadership.",1984-10-11,Republican,163
450,Bush,"No, Mr. White, I think our record on civil rights is a good record. You mentioned the Voting Rights extension; it was extended for the longest period of time by President Reagan. But we have some problems in attracting the black vote, and I think our record deserves better. We have done more for black colleges than any previous administration. We favor enterprise zones to give  and its been blocked by Tip ONeill and that House of Representatives, those liberals in that House blocked a new idea to bring jobs into the black communities across the country. And because its not an old handout, special federal spending program, its blocked there  a good idea. And Id like to sec that tried. Weve brought more civil rights cases in the Justice Department than the previous administration by far. We believe in trying something new to help these black teenage kids; the minimum wage differential that says, Look, to an employer, hire these guys. And, yes, theyre willing to work for slightly less than the minimum wage. Give em a training job in the private sector. We threw out that old CETA that didnt train people for jobs that existed, simply rammed them onto the government payroll, and we put in a thing called the Job Training Partnership Act. Wonderful new legislation thats helping blacks more and more. We think of civil rights as something like crime in your neighborhoods. And, for example, when crime figures are going in the right direction thats good, thats a civil right. Similarly, we think of it in terms of quality of life, and that means interest rates. You know, its funny, Mr. Mondale talks about real interest rates. The real interest rate is what you pay when you go down and try to buy a TV set or buy a car, or do whatever it is. The interest rates when we left office were 21% percent. Inflation! Is it a civil right to have the going right off the chart so youre busting every American family, those who can afford it the least? No, weve got a good record. Weve got it on civil rights legislation, minority set-asides, more help for black colleges, and weve got it in terms of an economy thats offering people opportunity and hope instead of despair.",1984-10-11,Republican,386
452,Bush,"Mr. White, its not trickling down. And Im not suggesting theres no poverty, but I am suggesting the way to work out of poverty is through real opportunity. And in the meantime, the needy are getting more help. Human resource spending is way, way up. Aid for Dependent Children spending is up. Immunization programs are up. Almost every place you can point, contrary to Mr. Mondales  I gotta be careful  but contrary of how he goes around just saying everything bad. If somebody sees a silver lining, he finds a big black cloud out there. Whine on harvest moon! I mean, theres a lot going on, a lotta opportunity.",1984-10-11,Republican,109
458,Bush,"Well, maybe we have a factual  maybe we can ask the experts to go to the books. Theyll do it anyway. Spending for food stamps is way, way up under the Reagan administration, AFDC is up under the Reagan administration, and Im not going to be found wrong on that. I am sure of my facts, and we are trying to help and I think were doing a reasonable job, but we are not going to rest until every single American that wants a job and until this prosperity and this recovery thats benefiting many Americans, benefits all Americans.",1984-10-11,Republican,99
461,Bush,"I do believe in pluralism. I do believe in separation of church and state. I dont consider abortion a religious issue. I consider it a moral issue. I believe the archbishop has every right to do everything he wants in that direction, just as I never faulted Jesse Jackson from taking his message to the black pulpits all across this country, just as I never objected when the nuclear arms, the nuclear freeze or the antinuclear people  many of those movements were led by priests. Suddenly, because a Catholic bishop or an evangelist feels strongly on a political issue, people are saying its merging of church and state. We favor  and I speak confidently for the president  we favor separation of church and state. We favor pluralism. Now somebody says you ought to restore prayer in schools. You dont think its right to prohibit a kid from praying in schools. For years kids were allowed to pray in schools. We dont think thats a merger of church and stare to have nonmandatory voluntary, nongovernment-ordered prayer. And yet some are accusing us of injecting religion into politics. I have no problem with what the archbishop does, and I have no problem with what the evangelists on the right do and I have no problem what the priests on the left do. And it didnt bother me when during the Vietnam War much of the opposition to the government  Democrat and Republican governments  was led by priests, encouraging people to break the law and the adage of the  you know  the civil disobedience thing. So our position, separation of church and stare, pluralism, so no little kid with a minority religion of some sort is going to feel offended or feel left out or feel uncomfortable. But, yes, prayer in school on a voluntary basis worked for many, many years until the Supreme Court ruled differently And Im glad we got this question because I think theres been too much said about religion and politics. We dont believe in denominationally moving in. It wasnt our side that raised the question about our president whether he was a good Christian or not and so I, so thats our position  separation of church and state, pluralism, respect for all.",1984-10-11,Republican,375
463,Bush,"You know, there has been  I have to make a confession  an evolution in my position. Theres been 15 million abortions since 1973, and I dont take that lightly. Theres been a million and a half this year. The president and I do favor a human rights amendment. I favor one that would have an exception for incest and rape, and he doesnt, but we both  only for the life of the mother. And I agree with him on that. So yes, my positions evolved, but Id like to see the American who faced with 15 million abortions isnt rethinking his or her position and Ill just stand with the answer. I support the presidents position  and comfortably  from a moral standpoint.",1984-10-11,Republican,122
471,Bush,"Well I respect that statement, I really and truly do. We have difference on a moral question here on abortion. I notice that Mr. Mondale keeps talking in the debate and now its come here about Mr. Falwell. And I dont know where this canard could have come from about Mr. Falwell picking the Supreme Court justices. Ronald Reagan has made one super outstanding, the only one hes made, appointment to the Supreme Court and that was Sandra Day OConnor, and Mr. Falwell opposed her nomination. We still have respect for him, but he opposed it, and so I hope this lays to rest this slander against the president. We want justices who will interpret the Constitution, not legislate it.",1984-10-11,Republican,120
480,Bush,"What that figure  and I kind of like the way Mrs. Ferraro and Mr. Zaccaro reported  because they reported federal taxes, state and local taxes  gives people a clearer picture. That year I happened to pay a lot of state and local taxes, which as you know are deducted from the other, and so I looked it up the other day, and we had paid  I think its 42 percent  of our gross income in taxes. Now Mr. Mondale the other night took what I  Ill be honest  I think it was a cheap shot  at me, and we did a little looking around to see about his. We cant find his 198I tax return  it may have been released. Maybe my opponent knows whether Mr. Mondale released it. But we did find estimates that his income for those three years is a million, four hundred thousand dollars, and I think he paid about the same percentage as I did in total taxes. He also made a reference that troubled me very much, Mr. Boyd. He started talking about my chauffeur, and you know, Im driven to work by the Secret Service  so is Mrs. Ferraro  so is Mr. Mondale  they protected his life for four years and now theyve done a beautiful job for Barbara and mine. They saved the life of the president of the United States. I think that was a cheap shot  telling the American people to try to divide class  rich and poor. But the big question isnt whether Mrs. Ferraro is doing well. I think theyre doing pretty well, and I know Barbara and I are doing well. And its darn sure that Mr. Mondale is doing well, with a million four in income, but the question really is  after we get through this disclosure  is the tax cut fair? Are people getting a fair break, and the answer is the rich are paying 6 percent more on taxes and the poor are getting a better break. Those lower and middle-income people that have borne the burden for a long time. So yes, I favor disclosure. Ive always disclosed. This year I had my taxes and everything I own in a blind trust  so blind  blinder than the presidents, so I didnt even sign my tax return. But there seemed to be an interest in it so we went to the government ethics committee  they agreed to change the trust. The trust has been revealed, and I was sure glad to see that I had paid 42 percent of my gross income in taxes.",1984-10-11,Republican,430
