actor,dialogue,date,Party
Bill Shadel,"Good evening. Im Bill Shadel of ABC News. Its my privilege this evening to preside at this the third in the series of meetings on radio and television of the two major presidential candidates. Now like the last meeting the subjects to be discussed will be suggested by questions from a panel of correspondents. Unlike the first two programs, however, the two candidates will not be sharing the same platform. In New York the Democratic presidential nominee, Senator John F. Kennedy; separated by three thousand miles in a Los Angeles studio, the Republican presidential nominee, Vice President Richard M. Nixon; now joined for tonights discussion by a network of electronic facilities which permits each candidate to see and hear the other. Good evening, Senator Kennedy.",1960-10-13,Moderator
Mr. Kennedy,"Good evening, Mr. Shadel.",1960-10-13,Democrat
Mr. Shadel,"And good evening to you, Vice President Nixon.",1960-10-13,Moderator
Mr. Nixon,"Good evening, Mr. Shadel.",1960-10-13,Republican
Mr. Shadel,"And now to meet the panel of correspondents. Frank McGee, NBC News; Charles Van Fremd, CBS News; Douglass Cater, Reporter magazine; Roscoe Drummond, New York Herald Tribune. Now, as youve probably noted, the four reporters include a newspaper man and a magazine reporter; these two selected by lot by the press secretaries of the candidates from among the reporters traveling with the candidates. The broadcasting representatives were chosen by their companies. The rules for this evening have been agreed upon by the representatives of both candidates and the radio and television networks and I should like to read them. There will be no opening statements by the candidates nor any closing summation. The entire hour will be devoted to answering questions from the reporters. Each candidate to be questioned in turn with opportunity for comment by the other. Each answer will be limited to two and one-half minutes, each comment to one and a half minutes. The reporters are free to ask any question they choose on any subject. Neither candidate knows what questions will be asked. Time alone will dete- determine who will be asked the final question. Now the first question is from Mr. McGee and is for Senator Kennedy.",1960-10-13,Moderator
Mr. Mcgee,"Senator Kennedy, yesterday you used the words trigger-happy in referring to Vice President Richard Nixons stand on defending the islands of Quemoy and Matsu. Last week on a program like this one, you said the next president would come face to face with a serious crisis in Berlin. So the question is: would you take military action to defend Berlin?",1960-10-13,Moderator
Mr. Kennedy,"Mr. McGee, we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II. That has been reinforced by direct commitments of the president of the United States; its been reinforced by a number of other nations under NATO. Ive stated on many occasions that the United States must meet its commitment on Berlin. It is a commitment that we have to meet if were going to protect the security of Western Europe. And therefore on this question I dont think that there is any doubt in the mind of any American; I hope there is not any doubt in the mind of any member of the community of West Berlin; Im sure there isnt any doubt in the mind of the Russians. We will meet our commitments to maintain the freedom and independence of West Berlin.",1960-10-13,Democrat
Mr. Shadel,"Mr. Vice President, do you wish to comment?",1960-10-13,Moderator
Mr. Nixon,"Yes. As a matter of fact, the statement that Senator Kennedy made was that  to the effect that there were trigger-happy Republicans, that my stand on Quemoy and Matsu was an indication of trigger-happy Republicans. I resent that comment. I resent it because th- its an implication that Republicans have been trigger-happy and, therefore, would lead this nation into war. I would remind Senator Kennedy of the past fifty years. I would ask him to name one Republican president who led this nation into war. There were three Democratic presidents who led us into war. I do not mean by that that one party is a war party and the other party is a peace party. But I do say that any statement to the effect that the Republican party is trigger-happy is belied by the record. We had a war when we came into power in 1953. We got rid of that; weve kept out of other wars; and certainly that doesnt indicate that were trigger-happy. Weve been strong, but we havent been trigger-happy. As far as Berlin is concerned, there isnt any question about the necessity of defending Berlin; the rights of people there to be free; and there isnt any question about what the united American people  Republicans and Democrats alike  would do in the event there were an attempt by the Communists to take over Berlin.",1960-10-13,Republican
Mr. Shadel,The next question is by Mr. Von Fremd for Vice President Nixon.,1960-10-13,Moderator
Mr. Von Fremd,"Mr. Vice President, a two-part question concerning the offshore islands in the Formosa Straits. If you were president and the Chinese Communists tomorrow began an invasion of Quemoy and Matsu, would you launch the uh  United States into a war by sending the Seventh Fleet and other military forces to resist this aggression; and secondly, if the uh  regular conventional forces failed to halt such uh  such an invasion, would you authorize the use of nuclear weapons?",1960-10-13,Moderator
Mr. Nixon,"Mr. Von Fremd, it would be completely irresponsible for a candidate for the presidency, or for a president himself, to indicate the course of action and the weapons he would use in the event of such an attack. I will say this: in the event that such an attack occurred and in the event the attack was a prelude to an attack on Formosa  which would be the indication today because the Chinese Communists say over and over again that their objective is not the offshore islands, that they consider them only steppingstones to taking Formosa  in the event that their attack then were a prelude to an attack on Formosa, there isnt any question but that the United States would then again, as in the case of Berlin, honor our treaty obligations and stand by our ally of Formosa. But to indicate in advance how we would respond, to indicate the nature of this response would be incorrect; it would certainly be inappropriate; it would not be in the best interests of the United States. I will only say this, however, in addition: to do what Senator Kennedy has suggested  to suggest that we will surrender these islands or force our Chinese Nationalist allies to surrender them in advance  is not something that would lead to peace; it is something that would lead, in my opinion, to war. This is the history of dealing with dictators. This is something that Senator Kennedy and all Americans must know. We tried this with Hitler. It didnt work. He wanted first uh  we know, Austria, and then he went on to the Sudetenland and then Danzig, and each time it was thought this is all that he wanted. Now what do the Chinese Communists want? They dont want just Quemoy and Matsu; they dont want just Formosa; they want the world. And the question is if you surrender or indicate in advance that youre not going to defend any part of the free world, and you figure thats going to satisfy them, it doesnt satisfy them. It only whets their appetite; and then the question comes, when do you stop them? Ive often heard President Eisenhower in discussing this question, make the statement that if we once start the process of indicating that this point or that point is not the place to stop those who threaten the peace and freedom of the world, where do we stop them? And I say that those of us who stand against surrender of territory  this or any others  in the face of blackmail, in the s- face of force by the Communists are standing for the course that will lead to peace.",1960-10-13,Republican
Mr. Shadel,"Senator Kennedy, do you wish to comment?",1960-10-13,Moderator
Mr. Kennedy,"Yes. The whole th- the United States now has a treaty  which I voted for in the United States Senate in 1955  to defend Formosa and the Pescadores Island. The islands which Mr. Nixon is discussing are five or four miles, respectively, off the coast of China. Now when Senator Green, the chairman of the Senate Foreign Relations Committee, wrote to the President, he received back on the second of October, 1958  neither you nor any other American need feel the U.S. will be involved in military hostilities merely in the defense of Quemoy and Matsu. Now, that is the issue. I believe we must meet our commitment to uh  Formosa. I support it and the Pescadores Island. That is the present American position. The treaty does not include these two islands. Mr. Nixon suggests uh  that the United States should go to war if these two islands are attacked. I suggest that if Formosa is attacked or the Pescadores, or if theres any military action in any area which indicates an attack on Formosa and the Pescadores, then of course the United States is at war to defend its treaty. Now, I must say what Mr. Nixon wants to do is commit us  as I understand him, so that we can be clear if theres a disagreement  he wants us to be committed to the defense of these islands merely as the defense of these islands as free territory, not as part of the defense of Formosa. Admiral Yarnell, the commander of the Asiatic fleet, has said that these islands are not worth the bones of a single American. The President of the United States has indicated they are not within the treaty area. They were not within the treaty area when the treaty was passed in fifty-five. We have attempted to persuade Chiang Kai-shek as late as January of 1959 to reduce the number of troops he has on them. This is a serious issue, and I think we ought to understand completely if we disagree, and if so, where.",1960-10-13,Democrat
Mr. Shadel,Mr. Cater has the next question for Senator Kennedy.,1960-10-13,Moderator
